serialnumber;partnumber;brand
182832233221029007441131;PWF32210291D;BRDING
182832233221029007441138;PWF32210291D;BRDING
182832233221029007441148;PWF32210291D;BRDING
182832233221029007441150;PWF32210291D;BRDING
182832233221029007441151;PWF32210291D;BRDING
182832233221029007441154;PWF32210291D;BRDING
182832233221029007441155;PWF32210291D;BRDING
182832233221029007441176;PWF32210291D;BRDING
180612233221029007141454;PWF32210291D;BRDING
180612233221029007141922;PWF32210291D;BRDING
181262233221029007252045;PWF32210291D;BRDING
181262233221029007252207;PWF32210291D;BRDING
181262233221029007252427;PWF32210291D;BRDING
181262233221029007252436;PWF32210291D;BRDING
181272233221029007253214;PWF32210291D;BRDING
182362233221029007366310;PWF32210291D;BRDING
182832233221029007441111;PWF32210291D;BRDING
182832233221029007441130;PWF32210291D;BRDING
181182233221029007244624;PWF32210291D;BRDING
181262233221029007252525;PWF32210291D;BRDING
181272233221029007252825;PWF32210291D;BRDING
182352233221029007365537;PWF32210291D;BRDING
182832233221029007441050;PWF32210291D;BRDING
183462233221029007639669;PWF32210291D;BRDING
183462233221029007639707;PWF32210291D;BRDING
183472233221029007640645;PWF32210291D;BRDING
183472233221029007640648;PWF32210291D;BRDING
183482233221029007647033;PWF32210291D;BRDING
183482233221029007647046;PWF32210291D;BRDING
183482233221029007647483;PWF32210291D;BRDING
183482233221029007647553;PWF32210291D;BRDING
183482233221029007647554;PWF32210291D;BRDING
183482233221029007647571;PWF32210291D;BRDING
183482233221029007647580;PWF32210291D;BRDING
183482233221029007647661;PWF32210291D;BRDING
183482233221029007647717;PWF32210291D;BRDING
183482233221029007647730;PWF32210291D;BRDING
183482233221029007647731;PWF32210291D;BRDING
183482233221029007647748;PWF32210291D;BRDING
183482233221029007647749;PWF32210291D;BRDING
183482233221029007647772;PWF32210291D;BRDING
183482233221029007647783;PWF32210291D;BRDING
183482233221029007647868;PWF32210291D;BRDING
183482233221029007647872;PWF32210291D;BRDING
183482233221029007647874;PWF32210291D;BRDING
183482233221029007647878;PWF32210291D;BRDING
183482233221029007647905;PWF32210291D;BRDING
183482233221029007647910;PWF32210291D;BRDING
183482233221029007647915;PWF32210291D;BRDING
183482233221029007647936;PWF32210291D;BRDING
183482233221029007647963;PWF32210291D;BRDING
183482233221029007647965;PWF32210291D;BRDING
183482233221029007647971;PWF32210291D;BRDING
183482233221029007647972;PWF32210291D;BRDING
183482233221029007647973;PWF32210291D;BRDING
183482233221029007647981;PWF32210291D;BRDING
183482233221029007647985;PWF32210291D;BRDING
183482233221029007647999;PWF32210291D;BRDING
183482233221029007648001;PWF32210291D;BRDING
183482233221029007648002;PWF32210291D;BRDING
